image,transform,predicted_class,confidence,pearson_corr_with_original_cam,jaccard_threshold_0.5,output_image
C:\Users\egork\Documents\warehouse\university\s6\ooais\lab10\data\processed\test\residential\residential_0030.jpg,original,residential,0.9923283457756042,1.0,1.0,C:\Users\egork\Documents\warehouse\university\s6\ooais\lab10\reports\gradcam_sensitivity\residential_0030_original.png
C:\Users\egork\Documents\warehouse\university\s6\ooais\lab10\data\processed\test\residential\residential_0030.jpg,hflip,residential,0.9778327345848083,-0.4632635326464492,0.0952452693744727,C:\Users\egork\Documents\warehouse\university\s6\ooais\lab10\reports\gradcam_sensitivity\residential_0030_hflip.png
C:\Users\egork\Documents\warehouse\university\s6\ooais\lab10\data\processed\test\residential\residential_0030.jpg,rot90,residential,0.9801375269889832,0.2744911915622842,0.3393048414738646,C:\Users\egork\Documents\warehouse\university\s6\ooais\lab10\reports\gradcam_sensitivity\residential_0030_rot90.png
C:\Users\egork\Documents\warehouse\university\s6\ooais\lab10\data\processed\test\residential\residential_0030.jpg,gaussian_blur,forest,0.5020841360092163,0.3786091878168513,0.13531269740998106,C:\Users\egork\Documents\warehouse\university\s6\ooais\lab10\reports\gradcam_sensitivity\residential_0030_gaussian_blur.png
C:\Users\egork\Documents\warehouse\university\s6\ooais\lab10\data\processed\test\residential\residential_0030.jpg,bright_up,residential,0.9546279311180115,0.6947800589827001,0.5935926773455378,C:\Users\egork\Documents\warehouse\university\s6\ooais\lab10\reports\gradcam_sensitivity\residential_0030_bright_up.png
C:\Users\egork\Documents\warehouse\university\s6\ooais\lab10\data\processed\test\residential\residential_0030.jpg,bright_down,forest,0.5790398120880127,-0.6740823887133373,0.0,C:\Users\egork\Documents\warehouse\university\s6\ooais\lab10\reports\gradcam_sensitivity\residential_0030_bright_down.png
C:\Users\egork\Documents\warehouse\university\s6\ooais\lab10\data\processed\test\residential\residential_0030.jpg,noise,residential,0.5440086126327515,-0.5723974758624678,0.0,C:\Users\egork\Documents\warehouse\university\s6\ooais\lab10\reports\gradcam_sensitivity\residential_0030_noise.png
