image,transform,predicted_class,confidence,pearson_corr_with_original_cam,jaccard_threshold_0.5,output_image
C:\Users\egork\Documents\warehouse\university\s6\ooais\lab10\data\processed\test\forest\forest_0030.jpg,original,forest,0.9761747121810913,1.0,1.0,C:\Users\egork\Documents\warehouse\university\s6\ooais\lab10\reports\gradcam_sensitivity\forest_0030_original.png
C:\Users\egork\Documents\warehouse\university\s6\ooais\lab10\data\processed\test\forest\forest_0030.jpg,hflip,forest,0.9865712523460388,0.7872468712204167,0.5633196169672731,C:\Users\egork\Documents\warehouse\university\s6\ooais\lab10\reports\gradcam_sensitivity\forest_0030_hflip.png
C:\Users\egork\Documents\warehouse\university\s6\ooais\lab10\data\processed\test\forest\forest_0030.jpg,rot90,forest,0.9598610997200012,0.7748309998973903,0.426081976601489,C:\Users\egork\Documents\warehouse\university\s6\ooais\lab10\reports\gradcam_sensitivity\forest_0030_rot90.png
C:\Users\egork\Documents\warehouse\university\s6\ooais\lab10\data\processed\test\forest\forest_0030.jpg,gaussian_blur,forest,0.8208309412002563,0.3160508185348072,0.3271372099339147,C:\Users\egork\Documents\warehouse\university\s6\ooais\lab10\reports\gradcam_sensitivity\forest_0030_gaussian_blur.png
C:\Users\egork\Documents\warehouse\university\s6\ooais\lab10\data\processed\test\forest\forest_0030.jpg,bright_up,forest,0.9397642016410828,0.036827243654434245,0.2904092363968907,C:\Users\egork\Documents\warehouse\university\s6\ooais\lab10\reports\gradcam_sensitivity\forest_0030_bright_up.png
C:\Users\egork\Documents\warehouse\university\s6\ooais\lab10\data\processed\test\forest\forest_0030.jpg,bright_down,forest,0.9632198214530945,0.5546174105885519,0.2672713662982696,C:\Users\egork\Documents\warehouse\university\s6\ooais\lab10\reports\gradcam_sensitivity\forest_0030_bright_down.png
C:\Users\egork\Documents\warehouse\university\s6\ooais\lab10\data\processed\test\forest\forest_0030.jpg,noise,forest,0.8522029519081116,0.8576200224341681,0.5031927066031816,C:\Users\egork\Documents\warehouse\university\s6\ooais\lab10\reports\gradcam_sensitivity\forest_0030_noise.png
